commit_hash,date,author,file_path,lines_added,lines_deleted,churn,is_bug_fix,commit_message
751d85f,2022-01-17T19:36:57+03:00,K900,setup.py,1,0,1,0,cli: use importlib.metadata instead of pkg_resources
751d85f,2022-01-17T19:36:57+03:00,K900,src/flask/cli.py,12,6,18,0,cli: use importlib.metadata instead of pkg_resources
aab064f,2022-01-14T09:34:07-08:00,David Lord,src/flask/testing.py,5,24,29,0,remove deprecated as_tuple parameter from test_client
b1a00eb,2021-12-22T18:44:37-07:00,David Lord,src/flask/ctx.py,8,7,15,1,update error message for after_this_request and copy_current_request_context
633449a,2021-12-22T18:35:17-07:00,Yourun-Proger,src/flask/ctx.py,9,1,10,1,fix error message
a841cfa,2021-12-22T18:07:04-07:00,olliemath,src/flask/json/__init__.py,9,3,12,1,"Only use a custom JSONDecoder if needed

The default JSONDecoder adds no extra functionality to `jso"
9d36623,2021-12-22T15:16:48-08:00,David Lord,src/flask/helpers.py,1,1,2,0,update requirements
c8ddb94,2021-11-16T07:35:02-08:00,David Lord,src/flask/ctx.py,20,2,22,0,deprecate RequestContext.g
47e4bd5,2021-11-16T06:31:51-08:00,pgjones,src/flask/ctx.py,1,1,2,0,copy_current_request_context can decorate async functions
282d862,2021-11-16T06:19:01-08:00,David Lord,src/flask/sessions.py,20,8,28,1,"document session lifetime and possible concurrency issues

Co-authored-by: Evgeny Prigorodov <eprigo"
e679a85,2021-11-15T14:00:23-08:00,Henry Kobin,src/flask/cli.py,5,4,9,1,made ImportError verbose in cli.py
46b39e2,2021-11-15T13:35:24-08:00,Bojan Delić,src/flask/typing.py,1,8,9,1,fix errorhandler type check
564bb27,2021-11-15T13:13:18-08:00,David Lord,src/flask/testing.py,30,12,42,0,deprecate as_tuple
15a3e82,2021-11-12T09:52:16-08:00,David Lord,src/flask/helpers.py,4,4,8,0,extend deprecation for renamed send_file params
48f2afb,2021-11-12T09:52:16-08:00,David Lord,src/flask/blueprints.py,6,16,22,0,same blueprint cannot be registered with same name
48f2afb,2021-11-12T09:52:16-08:00,David Lord,tests/test_blueprints.py,2,2,4,0,same blueprint cannot be registered with same name
f8cdc78,2021-11-12T09:52:16-08:00,David Lord,src/flask/helpers.py,0,22,22,0,remove deprecated total_seconds
b750177,2021-11-12T09:52:16-08:00,David Lord,src/flask/__init__.py,0,1,1,0,remove deprecated safe_join
b750177,2021-11-12T09:52:16-08:00,David Lord,src/flask/helpers.py,0,24,24,0,remove deprecated safe_join
218534a,2021-11-12T09:52:16-08:00,David Lord,src/flask/json/__init__.py,1,60,61,0,remove deprecated json encoding parameter
2bd7aed,2021-11-12T09:52:16-08:00,David Lord,src/flask/config.py,3,26,29,0,remove deprecated config.from_json
e21e003,2021-11-12T09:52:16-08:00,David Lord,src/flask/cli.py,13,57,70,0,remove deprecated script_info factory arg
e21e003,2021-11-12T09:52:16-08:00,David Lord,tests/test_cli.py,16,44,60,0,remove deprecated script_info factory arg
